timestamp,method,destination,host,path,content_type,risk_score,label,action,text_length,preview,match_type,match_excerpt
2026-04-13T03:51:49.090683,POST,https://10.0.1.130:9443/submit,10.0.1.130,/submit,urlencoded,65,PII,BLOCK,21,data=SSN: 123-XX-XXXX,SSN_PATTERN,data=SSN: 123-XX-XXXX
2026-04-13T03:54:47.234426,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=2&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,277,"[[[""thread-f:XXXX-XXXX-XXXX-9056"",null,[""msg-f:XXXX-XXXX-XXXX-9056""]],[""thread-f:XXXX-XXXX-XXXX-6702"",null,[""msg-f:1859906",CC_LUHN_VALID,"[[[""thread-f:XXXX-XXXX-XXXX-9056"",null,[""msg-f:XXXX-XXXX-XXXX-9056""]],[""thread-f:XXXX-XXXX-XXXX-6702"",null,[""msg-f:1859906"
2026-04-13T03:55:46.090468,POST,http://10.0.1.130:9000/submit,10.0.1.130,/submit,urlencoded,65,PII,BLOCK,21,data=SSN: 123-XX-XXXX,SSN_PATTERN,data=SSN: 123-XX-XXXX
2026-04-13T03:58:22.064106,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=2&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,277,"[[[""thread-f:XXXX-XXXX-XXXX-9056"",null,[""msg-f:XXXX-XXXX-XXXX-9056""]],[""thread-f:XXXX-XXXX-XXXX-6702"",null,[""msg-f:1859906",CC_LUHN_VALID,"[[[""thread-f:XXXX-XXXX-XXXX-9056"",null,[""msg-f:XXXX-XXXX-XXXX-9056""]],[""thread-f:XXXX-XXXX-XXXX-6702"",null,[""msg-f:1859906"
2026-04-13T03:58:56.735697,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=7&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1161,"0238024""]],[""thread-f:XXXX-XXXX-XXXX-2579"",null,[""msg-f:XXXX-XXXX-XXXX-2579""]],[""thread-f:XXXX-XXXX-XXXX-1131"",null,[""msg-f:XXXX-XXXX-XXXX-1131""]],[""thread-f:XXXX-XXXX-XXXX-6502"",null,[""msg-f:1861857",CC_LUHN_VALID,"0238024""]],[""thread-f:XXXX-XXXX-XXXX-2579"",null,[""msg-f:XXXX-XXXX-XXXX-2579""]],[""thread-f:XXXX-XXXX-XXXX-1131"",null,[""msg-f:XXXX-XXXX-XXXX-1131""]],[""thread-f:XXXX-XXXX-XXXX-6502"",null,[""msg-f:1861857"
2026-04-13T03:59:42.120900,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=22&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1110,"[[[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310",CC_LUHN_VALID,"[[[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310"
2026-04-13T04:00:20.374388,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=24&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1110,"[[[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310",CC_LUHN_VALID,"[[[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310"
2026-04-13T04:01:12.634698,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=32&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1110,"[[[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310",CC_LUHN_VALID,"[[[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310"
2026-04-17T22:43:56.756877,POST,http://10.0.1.130:9000/submit,10.0.1.130,/submit,urlencoded,65,PII,BLOCK,21,data=SSN: 123-XX-XXXX,SSN_PATTERN,data=SSN: 123-XX-XXXX
2026-04-17T23:07:46.489176,POST,http://10.0.1.130:9000/submit,10.0.1.130,/submit,urlencoded,65,PII,BLOCK,21,data=SSN: 123-XX-XXXX,SSN_PATTERN,data=SSN: 123-XX-XXXX
2026-04-17T23:16:19.433466,POST,https://10.0.1.130:9443/submit,10.0.1.130,/submit,urlencoded,65,PII,BLOCK,21,data=SSN: 123-XX-XXXX,SSN_PATTERN,data=SSN: 123-XX-XXXX
2026-04-17T23:18:29.676023,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=2&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,277,"[[[""thread-f:XXXX-XXXX-XXXX-9532"",null,[""msg-f:XXXX-XXXX-XXXX-9532""]],[""thread-f:XXXX-XXXX-XXXX-9056"",null,[""msg-f:XXXX-XXXX-XXXX-9056""]],[""thread-f:XXXX-XXXX-XXXX-6702"",null,[""msg-f:1859906",CC_LUHN_VALID,"[[[""thread-f:XXXX-XXXX-XXXX-9532"",null,[""msg-f:XXXX-XXXX-XXXX-9532""]],[""thread-f:XXXX-XXXX-XXXX-9056"",null,[""msg-f:XXXX-XXXX-XXXX-9056""]],[""thread-f:XXXX-XXXX-XXXX-6702"",null,[""msg-f:1859906"
2026-04-17T23:19:01.794572,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=9&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1110,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310",CC_LUHN_VALID,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310"
2026-04-17T23:19:33.615462,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=20&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1110,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310",CC_LUHN_VALID,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310"
2026-04-17T23:20:08.614528,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=22&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1110,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310",CC_LUHN_VALID,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310"
2026-04-17T23:21:05.628273,POST,https://mail.google.com/sync/u/0/i/fd?hl=en&c=24&rt=r&pt=ji,mail.google.com,/sync/u/0/i/fd,txt,100,PII,BLOCK,1110,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310",CC_LUHN_VALID,"7202856359""]],[""thread-f:XXXX-XXXX-XXXX-8647"",0,[""msg-f:XXXX-XXXX-XXXX-8647""]],[""thread-f:XXXX-XXXX-XXXX-4695"",0,[""msg-f:XXXX-XXXX-XXXX-4695""]],[""thread-f:XXXX-XXXX-XXXX-8932"",0,[""msg-f:XXXX-XXXX-XXXX-5310"
2026-04-17T23:25:34.878142,POST,https://10.0.1.130:9443/submit,10.0.1.130,/submit,urlencoded,65,PII,BLOCK,21,data=SSN: 123-XX-XXXX,SSN_PATTERN,data=SSN: 123-XX-XXXX
